2116678, 20
1833865, 2
1837433, 6
2116761, 6
2210859, 12
2285957, 1
1667759, 2
2290330, 12
1877590, 12
1056832, 6
2141424, 1
149288, 3
1858055, 12
2368169, 43
2332025, 10
1865153, 1
1414605, 2
2361527, 2
2333361, 1
2333614, 1
2067775, 3
2063945, 3
2331727, 1
1894738, 6
2117295, 6
2067773, 2
2285660, 1
1830726, 17
1759055, 6
2346895, 8
2346569, 6
2117134, 6
1184194, 3
1142488, 3
1885332, 1
2393648, 2
2211068, 1
2067807, 6
2320817, 17
1759037, 107
1867949, 2
1971743, 2
1865539, 12
1657936, 48
2099794, 1
2333026, 1
1830747, 23
2116838, 6
2116702, 6
2290329, 4
1759088, 1
1872924, 2
1830729, 13
1651284, 1
1510761, 6
2376929, 1
1608592, 1
1078200, 5
2332016, 49
2362662, 2
2308436, 1
1885343, 2
2285968, 1
2211074, 24
2331989, 38
2321755, 6
1827359, 6
2117211, 6
1885324, 1
2116779, 6
1833803, 2
1833876, 2
2328356, 6
1577599, 6
1658211, 1
2112704, 21
1327627, 1
2081363, 2
1853935, 2
2117373, 6
