number,comment,name,stock,price,qty,cost,url
"1510761","MOSFET_N m2fc:SOT-23-MOSFET Q502 Q504 Q506","NXP - 2N7002,215 - MOSFET,N CH, 60V,0.3A,SOT23","245,646","0.03","3","0.09","http://onecall.farnell.com/_/_/_/dp/1510761"
"1577599","330 m2fc:R0603 R203 R211 R219","PANASONIC - ERA3AEB331V - RESISTOR, 0603, 330R, 0.1%, 0.1W","9,183","0.199","3","0.597","http://onecall.farnell.com/_/_/_/dp/1577599"
"2211074","100n m2fc:C1206 C603 C611 C607 C606 C614 C622 C618 C617 C625 C633 C629 C628","TDK - CGA5L2C0G1H104J160AA - CAP, MLCC, C0G/NP0, 100NF, 50V, 1206","11,747","0.48","12","5.76","http://onecall.farnell.com/_/_/_/dp/2211074"
"1865539","82n m2fc:C0603 C203 C202 C216 C215 C229 C228","KEMET - C0603C823K5RACTU - CAP, MLCC, X7R, 82NF, 50V, 0603","8,066","0.05","6","0.30000000000000004","http://onecall.farnell.com/_/_/_/dp/1865539"
"1833865","220n m2fc:C0603 C312","AVX - 06033C224KAT2A - CAP, MLCC, X7R, 220NF, 25V, 0603","38,875","0.211","1","0.211","http://onecall.farnell.com/_/_/_/dp/1833865"
"2290330","YELLOW m2fc:LED0603 D402 D403 D404 D405","KINGBRIGHT - KP-1608SYCK - LED, 0603, 150MCD, YELLOW","15,209","0.054","4","0.216","http://onecall.farnell.com/_/_/_/dp/2290330"
"2361527","ADXL375 m2fc:ADXL3x5 IC301","ANALOG DEVICES - ADXL375BCCZ - ACCELEROMETER, 200G, LGA-14","371","7.45","1","7.45","http://onecall.farnell.com/_/_/_/dp/2361527"
"2116652","562 m2fc:R0603 R206 R214 R222","TE CONNECTIVITY - RP73PF1J562RBTDF - RESISTOR, 0603, 0.17W, 562R, 0.1%, 25PPM","664","0.209","3","0.627","http://onecall.farnell.com/_/_/_/dp/2116652"
"2328356","5 m2fc:PWR4318 R505 R512 R519","BOURNS - PWR4318W5R00JE - RESISTOR WIREWOUND, 5OHM, 5%, SMD","1,333","0.78","3","2.34","http://onecall.farnell.com/_/_/_/dp/2328356"
"2116761","6.04k m2fc:R0603 R205 R213 R221","TE CONNECTIVITY - RP73PF1J6K04BTDF - RESISTOR, 0603, 0.17W, 6K04, 0.1%, 25PPM","189","0.211","3","0.633","http://onecall.farnell.com/_/_/_/dp/2116761"
"2393648","STM32F405VGT m2fc:LQFP100 IC102","STMICROELECTRONICS - STM32F405VGT7 - MCU, 32BIT, CORTEX-M4, 168MHZ, LQFP-100","232","8.63","1","8.63","http://onecall.farnell.com/_/_/_/dp/2393648"
"SW04244","ARM SW None U102","BULGIN - VS0002 - VOLTAGE SELECTOR, 120/240V","21","2.55","1","2.55","http://onecall.farnell.com/_/_/_/dp/SW04244"
