2285957, 1
2290330, 4
2331989, 10
2141424, 1
149288, 1
2368169, 5
1865153, 1
1830726, 3
2063945, 1
2333614, 1
2067775, 1
2333361, 1
2331727, 1
2285660, 1
2290329, 2
2376929, 1
1759055, 2
1885332, 1
2211068, 1
2320817, 7
1759037, 17
2099794, 1
1830747, 3
2333026, 1
1830729, 3
1651284, 1
1184194, 1
2285968, 1
1608592, 1
1078200, 3
2332016, 1
2308436, 1
1885343, 2
1142488, 1
1759088, 1
1885324, 1
1658211, 1
2112704, 1
1327627, 1
2116678, 10
1833803, 1
2067807, 3
2116761, 3
2210859, 6
1667759, 1
2290330, 4
1056832, 3
1142488, 1
2081363, 1
1858055, 6
2368169, 19
2393648, 1
1837433, 3
2361527, 1
2063945, 1
2067773, 1
2346569, 3
2067775, 1
1510761, 3
2117295, 3
2290329, 1
1759055, 2
2346895, 4
2328356, 3
2117134, 3
2116838, 3
2332025, 5
1894738, 3
2320817, 5
1759037, 45
1867949, 1
1971743, 1
1865539, 6
1657936, 24
1853935, 1
1830747, 10
1877590, 6
2116702, 3
1830726, 7
1872924, 1
1830729, 5
1414605, 1
1184194, 1
1078200, 1
2332016, 24
2362662, 1
2211074, 12
2331989, 14
2321755, 3
1827359, 3
2117211, 3
2116779, 3
1833876, 1
1577599, 3
2112704, 10
1833865, 1
149288, 1
2117373, 3
2116678, 10
1833803, 1
2067807, 3
2116761, 3
2210859, 6
1667759, 1
2290330, 4
1056832, 3
1142488, 1
2081363, 1
1858055, 6
2368169, 19
2393648, 1
1837433, 3
2361527, 1
2063945, 1
2067773, 1
2346569, 3
2067775, 1
1510761, 3
2117295, 3
2290329, 1
1759055, 2
2346895, 4
2328356, 3
2117134, 3
2116838, 3
2332025, 5
1894738, 3
2320817, 5
1759037, 45
1867949, 1
1971743, 1
1865539, 6
1657936, 24
1853935, 1
1830747, 10
1877590, 6
2116702, 3
1830726, 7
1872924, 1
1830729, 5
1414605, 1
1184194, 1
1078200, 1
2332016, 24
2362662, 1
2211074, 12
2331989, 14
2321755, 3
1827359, 3
2117211, 3
2116779, 3
1833876, 1
1577599, 3
2112704, 10
1833865, 1
149288, 1
2117373, 3
